,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,50.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,0.5565979878107706,0.4018046061197917,21.75555555555556,0.0774320995435118
2-3,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.3806761503219604,0.314556884765625,21.04666666666667,0.0768923795270354
2-5,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.3922938480973243,0.3859634399414062,22.616666666666664,0.0773436282343624
2-7,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5552103221416473,0.8682963053385416,21.98888888888889,0.0775057099505168
2-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.49978888630867,0.2626861572265625,22.69333333333333,0.0775811093911452
2-11,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.4011472463607788,0.44429931640625,20.366666666666667,0.0791361186354997
2-13,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.4516754418611526,1.9074371337890623,20.066666666666663,0.0782156044379212
2-15,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.416585698723793,1.0403175354003906,23.6,0.0776253513425414
3-1,33.33333333333333,0.0,16.666666666666664,0.0,33.33333333333333,16.666666666666664,0.0,0.2299263030290603,0.2398416399955749,24.75,0.0775392861639867
3-3,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.1920984126627445,0.2122140675783157,26.19166666666667,0.078475462373837
3-5,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.2589851568142573,0.08748692770799,23.544444444444448,0.0790859705297941
3-7,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.3839544504880905,0.3665109872817993,21.366666666666667,0.0787333340893004
3-9,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.2458013087511062,0.2930507957935333,22.22,0.0788905394684736
3-11,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.3471810966730118,0.4217066191136837,21.60666666666667,0.0782850859116534
3-13,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.2835316061973572,0.492930106818676,22.116666666666667,0.0782602697021159
3-15,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.28104292973876,0.3201825385913253,24.091666666666665,0.0782178743836829
Avg,65.62500000000001,1.0416666666666665,16.666666666666668,0.0,8.333333333333332,2.083333333333333,6.249999999999998,0.3672810528737804,0.5037053163667831,22.501388888888886,0.07807623898033612
