,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,50.0,0.0,,,,0.077990537736474
2-3,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.5163694024085999,0.6094551086425781,23.525,0.0777337345868051
2-5,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.3765807598829269,0.2902984619140625,23.10833333333333,0.0779761451214743
2-7,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.4582018852233886,0.305938720703125,21.933333333333337,0.0779682791728681
2-9,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.3860563039779663,0.15972900390625,25.3,0.0778741816456398
2-11,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.4585419818758964,0.549896240234375,21.775,0.0789702302541065
2-13,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.5270583778619766,1.27099609375,21.808333333333337,0.0785333066580286
2-15,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.3117777526378631,1.021063232421875,23.786666666666665,0.0780213058308315
3-1,0.0,0.0,0.0,0.0,16.666666666666664,83.33333333333334,0.0,,,,0.0779507182947491
3-3,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.3326371967792511,1.483970010280609,24.80666666666667,0.0786751079429486
3-5,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.2302113808691501,0.4054294247180223,24.05,0.0790214645669456
3-7,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,,,,0.0786170773691945
3-9,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.150410309433937,0.5332022905349731,20.666666666666668,0.0785981829061448
3-11,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.4129728525876999,0.7044134736061096,24.575,0.0782246723780957
3-13,50.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0,0.0,0.2157545338074366,0.5544027462601662,21.944444444444446,0.0782965662602998
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703291500608126,0.4102385014217968,24.200000000000003,0.0780685825991442
Avg,49.99999999999999,3.1249999999999996,16.666666666666664,1.0416666666666665,14.58333333333333,8.333333333333334,6.249999999999998,0.3574539913389928,0.6383871775687648,23.190726495726494,0.0782825058327344
