,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,50.0,0.0,,,,0.07799053773647402
2-3,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.5163694024085999,0.6094551086425781,23.525,0.07773373458680513
2-5,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.37658075988292694,0.2902984619140625,23.10833333333333,0.07797614512147434
2-7,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.45820188522338867,0.305938720703125,21.933333333333337,0.07796827917286812
2-9,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.3860563039779663,0.15972900390625,25.3,0.07787418164563982
2-11,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.45854198187589645,0.549896240234375,21.775,0.0789702302541065
2-13,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.5270583778619766,1.27099609375,21.808333333333337,0.0785333066580286
2-15,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.31177775263786317,1.021063232421875,23.786666666666665,0.07802130583083156
3-1,0.0,0.0,0.0,0.0,16.666666666666664,83.33333333333334,0.0,,,,0.07795071829474912
3-3,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.3326371967792511,1.483970010280609,24.80666666666667,0.07867510794294863
3-5,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.23021138086915016,0.40542942471802235,24.049999999999997,0.07902146456694568
3-7,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,,,,0.07861707736919453
3-9,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.15041030943393707,0.5332022905349731,20.666666666666668,0.07859818290614481
3-11,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.4129728525876999,0.7044134736061096,24.575,0.0782246723780957
3-13,50.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0,0.0,0.21575453380743662,0.5544027462601662,21.944444444444446,0.07829656626029985
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27032915006081265,0.4102385014217968,24.200000000000003,0.07806858259914423
Avg,50.0,3.1249999999999996,16.666666666666664,1.0416666666666665,14.583333333333332,8.333333333333334,6.249999999999999,,,,0.07828250583273441
