,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.45533354580402374,1.1413726806640625,24.333333333333336,0.07827267642562272
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3178423345088959,0.5219243367513021,21.927777777777777,0.07755176668515834
2-5,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.3217009902000427,0.6794891357421875,22.755555555555556,0.07855046737468106
2-7,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.42584327459335325,0.7521392822265625,23.35333333333333,0.07757384286704638
2-9,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.4351651132106781,0.7808380126953125,22.380000000000003,0.07747464221002909
2-11,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.4246531665325165,0.56800537109375,22.3,0.08338929524473765
2-13,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.3996467590332031,0.871807861328125,21.853333333333335,0.08338878556750223
2-15,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.4014747321605682,0.4118316650390625,24.726666666666667,0.08317711548357094
3-1,0.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,50.0,,,,0.08192219581859073
3-3,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.21445866525173188,0.4014321506023407,23.69333333333333,0.07880701197670928
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26816654950380325,0.4841178134083748,23.688888888888886,0.07942998251725923
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511770650744438,0.6280418237050375,21.811111111111114,0.07916524887084961
3-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.18370705097913742,0.4098937526345253,22.106666666666666,0.07899408206034131
3-11,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.33249708265066147,0.8506164699792862,24.09166666666667,0.07859108086382405
3-13,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.28288012742996216,0.21928054615855216,25.380000000000003,0.07874842410716172
3-15,66.66666666666666,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.17361931130290031,0.43245692923665047,22.93333333333333,0.07852839533826911
Avg,73.95833333333334,3.1249999999999996,8.333333333333332,0.0,4.166666666666666,4.166666666666666,6.249999999999999,,,,0.07959781333820959
