,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,16.666666666666664,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,0.39210856705904,3.473968505859375,22.266666666666666,0.0780795028172626
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3669498190283775,0.44403076171875,24.149999999999995,0.0782531902944441
2-5,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.3235350648562113,0.4027303059895833,24.91111111111111,0.0786069433634084
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4391679018735885,0.3280614217122395,23.52777777777777,0.0777156885165421
2-9,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.4350046455860138,1.1918975830078125,21.5,0.0777729448762912
2-11,66.66666666666666,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.3482081368565559,0.5046310424804688,22.0,0.0791396095996766
2-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.4072530686855316,0.8650238037109375,22.6,0.0786562729368759
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3530507336060206,0.9067967732747396,23.13888888888889,0.077955711882066
3-1,16.666666666666664,0.0,33.33333333333333,0.0,0.0,33.33333333333333,16.666666666666664,0.2141121923923492,0.7506505846977234,26.066666666666663,0.0779688497787332
3-3,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.2988640367984772,0.5143157802522182,24.40833333333333,0.0785757381698381
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2888968214392662,1.067807604869207,22.26111111111111,0.0788842141861643
3-7,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.1779827885329723,0.4376449957489967,20.941666666666663,0.0785114501268809
3-9,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.215009581297636,0.5849914103746414,23.21666666666667,0.0785974610758864
3-11,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.2544541925191879,0.2535482347011566,22.44666666666667,0.0784615327652541
3-13,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.213322651386261,0.4533068239688873,24.7,0.0787440380315199
3-15,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.2141379304230213,0.6469737067818642,25.275,0.0786122491462312
Avg,72.91666666666666,1.0416666666666665,10.416666666666664,1.0416666666666665,4.166666666666666,4.166666666666666,6.249999999999999,0.3088786332712819,0.8016487086967876,23.338159722222215,0.07840846234794217
