,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.2673945352435112,0.46126556396484375,23.049999999999997,0.0788210495207846
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3729417622089386,0.2737833658854167,22.333333333333332,0.07950928358246255
2-5,50.0,0.0,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.31578701734542847,0.989501953125,23.066666666666666,0.08145830682546706
2-7,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.4841479241847992,0.35772705078125,21.613333333333333,0.07879738179962376
2-9,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.3325369626283646,0.5002838134765625,21.04,0.07887287104600355
2-11,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3553620636463165,0.438177490234375,22.173333333333336,0.07995001084166146
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41722352306048077,0.5673650105794271,23.63888888888889,0.07935358654050266
2-15,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.44500789791345596,1.4321861267089844,21.491666666666667,0.07893089395510726
3-1,66.66666666666666,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.15582581982016563,0.3906480725854635,22.0,0.07899889384351207
3-3,66.66666666666666,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.22865871712565422,0.5237567499279976,25.825,0.07957657146132754
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2683783347407977,0.7543134093284607,24.061111111111114,0.08015041437390048
3-7,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.23064368466536203,0.3880976140499115,20.266666666666666,0.07975993679921248
3-9,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3009031876921654,0.5429646879434585,23.013333333333332,0.07974499922532302
3-11,50.0,0.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0,0.3085506757100423,0.26121123631795246,23.100000000000005,0.07933200897930337
3-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.41172056198120116,0.6509352416731418,23.473333333333333,0.07947854015786769
3-15,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.2631547287106514,0.21389138251543044,23.426666666666666,0.07939122391737534
Avg,73.95833333333334,6.249999999999999,5.208333333333332,1.0416666666666665,4.166666666666666,4.166666666666666,5.208333333333332,0.32238983729233345,0.5466317980686048,22.723333333333333,0.07950787330433969
