,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.2673945352435112,0.4612655639648437,23.05,0.0788210495207846
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3729417622089386,0.2737833658854167,22.33333333333333,0.0795092835824625
2-5,50.0,0.0,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.3157870173454284,0.989501953125,23.066666666666663,0.081458306825467
2-7,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.4841479241847992,0.35772705078125,21.613333333333333,0.0787973817996237
2-9,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.3325369626283646,0.5002838134765625,21.04,0.0788728710460035
2-11,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3553620636463165,0.438177490234375,22.173333333333336,0.0799500108416614
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4172235230604807,0.5673650105794271,23.63888888888889,0.0793535865405026
2-15,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.4450078979134559,1.4321861267089844,21.491666666666667,0.0789308939551072
3-1,66.66666666666666,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.1558258198201656,0.3906480725854635,22.0,0.078998893843512
3-3,66.66666666666666,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.2286587171256542,0.5237567499279976,25.825,0.0795765714613275
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2683783347407977,0.7543134093284607,24.061111111111117,0.0801504143739004
3-7,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.230643684665362,0.3880976140499115,20.266666666666666,0.0797599367992124
3-9,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3009031876921654,0.5429646879434585,23.01333333333333,0.079744999225323
3-11,50.0,0.0,33.33333333333333,16.666666666666664,0.0,0.0,0.0,0.3085506757100423,0.2612112363179524,23.100000000000005,0.0793320089793033
3-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.4117205619812011,0.6509352416731418,23.473333333333333,0.0794785401578676
3-15,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.2631547287106514,0.2138913825154304,23.426666666666662,0.0793912239173753
Avg,73.95833333333333,6.249999999999998,5.208333333333332,1.0416666666666665,4.166666666666666,4.166666666666666,5.208333333333332,0.3223898372923334,0.5466317980686047,22.723333333333336,0.0795078733043396
