,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.4092859923839569,0.2950286865234375,23.1,0.0775296794728303
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4922157724698384,0.6849899291992188,22.15,0.076383774905201
2-5,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.4147953450679779,0.4460784912109375,22.313333333333333,0.0780615058887197
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4844096650679906,0.2764968872070312,23.433333333333337,0.0803823481681438
2-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.4447548568248748,0.4926483154296875,23.65333333333333,0.0780930413697895
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4582125097513199,0.7177098592122396,21.23888888888889,0.0801905945078114
2-13,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.4362654313445091,0.2313194274902343,22.98333333333333,0.113703704012949
2-15,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.3063118517398834,0.3136810302734375,22.926666666666662,0.0766404396200663
3-1,16.666666666666664,0.0,0.0,0.0,0.0,83.33333333333334,0.0,0.2168692499399185,0.269776701927185,24.6,0.0764368752921398
3-3,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.2445818156003952,0.3889089107513427,22.04666666666667,0.0769987741613646
3-5,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.2957683414220809,0.629890376329422,24.006666666666668,0.0774490418569626
3-7,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.3266907334327698,0.7525120496749877,22.526666666666667,0.0773531662625409
3-9,0.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666,,,,0.0766836814627285
3-11,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.4054394587874412,0.4474301030859351,24.516666666666666,0.076772273212593
3-13,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.180907268077135,0.2483112448826432,25.216666666666665,0.0766997547665489
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2089601097007592,0.3959976409872373,23.20555555555556,0.0767051948590225
Avg,71.875,1.0416666666666665,5.208333333333332,0.0,1.0416666666666665,9.375,11.458333333333332,0.35503122677405674,0.4393853102789985,23.194518518518517,0.07975524061371324
