,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.4092859923839569,0.2950286865234375,23.1,0.07752967947283038
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49221577246983844,0.6849899291992188,22.150000000000002,0.07638377490520103
2-5,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.4147953450679779,0.4460784912109375,22.313333333333333,0.07806150588871973
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4844096650679906,0.27649688720703125,23.433333333333337,0.08038234816814388
2-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.44475485682487487,0.4926483154296875,23.653333333333332,0.07809304136978952
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4582125097513199,0.7177098592122396,21.23888888888889,0.0801905945078114
2-13,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.4362654313445091,0.23131942749023438,22.983333333333334,0.11370370401294905
2-15,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.3063118517398834,0.3136810302734375,22.926666666666666,0.07664043962006631
3-1,16.666666666666664,0.0,0.0,0.0,0.0,83.33333333333334,0.0,0.21686924993991852,0.26977670192718506,24.6,0.0764368752921398
3-3,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.2445818156003952,0.38890891075134276,22.04666666666667,0.07699877416136466
3-5,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.29576834142208097,0.629890376329422,24.006666666666668,0.07744904185696269
3-7,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.3266907334327698,0.7525120496749877,22.526666666666667,0.07735316626254096
3-9,0.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666,,,,0.0766836814627285
3-11,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.40543945878744125,0.4474301030859351,24.516666666666666,0.07677227321259306
3-13,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.18090726807713509,0.24831124488264322,25.216666666666665,0.07669975476654897
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20896010970075926,0.3959976409872373,23.20555555555556,0.07670519485902251
Avg,71.875,1.0416666666666665,5.208333333333332,0.0,1.0416666666666665,9.375,11.458333333333332,,,,0.07975524061371328
